0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:24:54 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:24:54 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:24:55 -0300] "GET /arcoiris/pages/admin/book.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:24:55 -0300] "GET /arcoiris/pages/imgs/filter.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:24:55 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:24:55 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:24:55 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:24:55 -0300] "GET /arcoiris/pages/admin/book.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:24:55 -0300] "GET /arcoiris/pages/imgs/filter.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:24:55 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:24:55 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:24:55 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:24:56 -0300] "GET /arcoiris/pages/admin/book.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:24:56 -0300] "GET /arcoiris/pages/imgs/filter.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:24:56 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:24:56 -0300] "GET /arcoiris/rest/book/getAllBooks?title= HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [05/Dec/2023:13:24:56 -0300] "GET /arcoiris/rest/category/getAllCategorys HTTP/1.1" 200 138
